FILE,TYPE_NAME,TYPE_KIND,PURPOSE,GENERATED_EQUIVALENT,NEEDS_MIGRATION,NOTES
frontend/src/shared/api/generated/types.ts,BearerAuth,interface,API Security scheme,N/A (source of truth),No,Auto-generated from OpenAPI spec - do not edit manually
frontend/src/shared/api/generated/types.ts,User,interface,API data model,N/A (source of truth),No,Generated from OpenAPI - represents backend User entity
frontend/src/shared/api/generated/types.ts,AuthResponse,interface,API response type,N/A (source of truth),No,Login/authentication response wrapper
frontend/src/shared/api/generated/types.ts,Project,interface,API data model,N/A (source of truth),No,Generated from OpenAPI - core project entity
frontend/src/shared/api/generated/types.ts,ProjectMember,interface,API data model,N/A (source of truth),No,Project membership with role assignment
frontend/src/shared/api/generated/types.ts,Task,interface,API data model,N/A (source of truth),No,Task entity with status and priority
frontend/src/shared/api/generated/types.ts,Comment,interface,API data model,N/A (source of truth),No,Comment on a task with author
frontend/src/shared/api/generated/types.ts,PaginationMetadata,interface,API response envelope,N/A (source of truth),No,Pagination info for list responses
frontend/src/shared/api/generated/types.ts,ErrorResponse,interface,API error response,N/A (source of truth),No,Standardized error response format
frontend/src/shared/api/generated/types.ts,RegisterRequest,interface,API request type,N/A (source of truth),No,User registration request body
frontend/src/shared/api/generated/types.ts,LoginRequest,interface,API request type,N/A (source of truth),No,User login request body - duplicated in auth/types
frontend/src/shared/api/generated/types.ts,CreateProjectRequest,interface,API request type,N/A (source of truth),No,Create project request body
frontend/src/shared/api/generated/types.ts,UpdateProjectRequest,interface,API request type,N/A (source of truth),No,Update project request body
frontend/src/shared/api/generated/types.ts,AddProjectMemberRequest,interface,API request type,N/A (source of truth),No,Add member to project request
frontend/src/shared/api/generated/types.ts,UpdateProjectMemberRequest,interface,API request type,N/A (source of truth),No,Update project member role request
frontend/src/shared/api/generated/types.ts,CreateTaskRequest,interface,API request type,N/A (source of truth),No,Create task request body
frontend/src/shared/api/generated/types.ts,UpdateTaskRequest,interface,API request type,N/A (source of truth),No,Update task request body
frontend/src/shared/api/generated/types.ts,CreateCommentRequest,interface,API request type,N/A (source of truth),No,Create comment request body
frontend/src/shared/api/generated/types.ts,UpdateCommentRequest,interface,API request type,N/A (source of truth),No,Update comment request body
frontend/src/shared/api/generated/types.ts,PaginatedResponse,interface,API response envelope,N/A (source of truth),No,Generic paginated response wrapper
frontend/src/shared/api/generated/types.ts,ItemResponse,interface,API response envelope,N/A (source of truth),No,Single item response wrapper
frontend/src/shared/api/generated/types.ts,SuccessResponse,interface,API response envelope,N/A (source of truth),No,Success response without data payload
frontend/src/shared/api/generated/types.ts,ListProjectsParams,interface,API query parameters,N/A (source of truth),No,Query params for listing projects
frontend/src/shared/api/generated/types.ts,ListTasksParams,interface,API query parameters,N/A (source of truth),No,Query params for listing tasks
frontend/src/shared/api/generated/types.ts,ListCommentsParams,interface,API query parameters,N/A (source of truth),No,Query params for listing comments
frontend/src/shared/api/generated/types.ts,ListProjectMembersParams,interface,API query parameters,N/A (source of truth),No,Query params for listing project members
frontend/src/shared/api/generated/types.ts,ProjectsResponse,type alias,API response type,N/A (source of truth),No,Convenience alias: PaginatedResponse<Project>
frontend/src/shared/api/generated/types.ts,TasksResponse,type alias,API response type,N/A (source of truth),No,Convenience alias: PaginatedResponse<Task>
frontend/src/shared/api/generated/types.ts,CommentsResponse,type alias,API response type,N/A (source of truth),No,Convenience alias: PaginatedResponse<Comment>
frontend/src/shared/api/generated/types.ts,ProjectMembersResponse,type alias,API response type,N/A (source of truth),No,Convenience alias: PaginatedResponse<ProjectMember>
frontend/src/features/auth/types/index.ts,UserRole,type alias,UI authorization,Generated in shared/api/generated/types.ts,Yes,"UNION TYPE DUPLICATION: Also defined in shared/permissions/can.ts. Should consolidate to single source"
frontend/src/features/auth/types/index.ts,LoginRequest,interface,API request type,Generated in shared/api/generated/types.ts,Yes,"DUPLICATION: Also exists in generated/types.ts. Should import from generated instead"
frontend/src/features/auth/types/index.ts,CurrentUser,interface,UI data model,Partial in shared/api/generated/User,Yes,"UI-specific extension of User. Add generated relation properties or use base User type"
frontend/src/features/auth/types/index.ts,User,interface,API data model,Generated in shared/api/generated/types.ts,Yes,"DUPLICATION: Simplified version of generated User. Should import from generated/types"
frontend/src/features/auth/types/index.ts,LoginResponse,interface,API response type,Generated in shared/api/generated/types.ts,Yes,"DUPLICATION: Matches AuthResponse structure. Should import from generated/types"
